f_i,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
f18_i1,ELA0_4,ELA1_4,ELA2_5,ELA3_6,ELA4_4,ELA5_4,ELA6_4,ELA7_5,ELA8_5,ELA9_0,ELA10_1,ELA11_1,ELA12_1,ELA13_1,ELA14_1,ELA15_1,ELA16_1,ELA17_1,ELA18_1,ELA19_1,ELA20_7,ELA21_0,ELA22_4,ELA23_0,ELA24_1,ELA25_0,ELA26_0,ELA27_5,ELA28_6,ELA29_7,ELA30_6,ELA31_5,ELA32_6,ELA33_2,ELA34_6,ELA35_0,ELA36_8,ELA37_4,ELA38_4,ELA39_5,ELA40_6,ELA41_3,ELA42_4,ELA43_4,ELA44_5,ELA45_4
f18_i2,ELA0_4,ELA1_5,ELA2_4,ELA3_5,ELA4_4,ELA5_4,ELA6_4,ELA7_4,ELA8_5,ELA9_0,ELA10_1,ELA11_1,ELA12_0,ELA13_0,ELA14_2,ELA15_2,ELA16_0,ELA17_0,ELA18_2,ELA19_2,ELA20_7,ELA21_0,ELA22_3,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_5,ELA28_7,ELA29_6,ELA30_5,ELA31_5,ELA32_6,ELA33_2,ELA34_5,ELA35_0,ELA36_7,ELA37_4,ELA38_5,ELA39_4,ELA40_5,ELA41_4,ELA42_4,ELA43_4,ELA44_4,ELA45_3
f18_i3,ELA0_2,ELA1_1,ELA2_1,ELA3_2,ELA4_1,ELA5_1,ELA6_1,ELA7_1,ELA8_5,ELA9_0,ELA10_1,ELA11_1,ELA12_0,ELA13_1,ELA14_0,ELA15_0,ELA16_0,ELA17_0,ELA18_0,ELA19_0,ELA20_7,ELA21_2,ELA22_3,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_6,ELA28_6,ELA29_7,ELA30_6,ELA31_5,ELA32_6,ELA33_2,ELA34_4,ELA35_0,ELA36_7,ELA37_2,ELA38_1,ELA39_1,ELA40_2,ELA41_1,ELA42_1,ELA43_1,ELA44_1,ELA45_5
f18_i4,ELA0_5,ELA1_5,ELA2_6,ELA3_6,ELA4_4,ELA5_5,ELA6_5,ELA7_6,ELA8_5,ELA9_0,ELA10_1,ELA11_2,ELA12_2,ELA13_2,ELA14_2,ELA15_2,ELA16_3,ELA17_2,ELA18_2,ELA19_2,ELA20_6,ELA21_0,ELA22_4,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_6,ELA28_5,ELA29_6,ELA30_6,ELA31_5,ELA32_6,ELA33_2,ELA34_5,ELA35_0,ELA36_8,ELA37_5,ELA38_5,ELA39_6,ELA40_6,ELA41_4,ELA42_5,ELA43_5,ELA44_6,ELA45_3
f18_i5,ELA0_4,ELA1_4,ELA2_4,ELA3_5,ELA4_4,ELA5_4,ELA6_4,ELA7_5,ELA8_6,ELA9_0,ELA10_1,ELA11_1,ELA12_0,ELA13_0,ELA14_2,ELA15_2,ELA16_0,ELA17_0,ELA18_2,ELA19_2,ELA20_9,ELA21_0,ELA22_2,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_3,ELA28_8,ELA29_3,ELA30_4,ELA31_4,ELA32_5,ELA33_0,ELA34_4,ELA35_0,ELA36_6,ELA37_4,ELA38_4,ELA39_4,ELA40_5,ELA41_3,ELA42_4,ELA43_4,ELA44_5,ELA45_2
f19_i1,ELA0_5,ELA1_5,ELA2_4,ELA3_5,ELA4_4,ELA5_4,ELA6_4,ELA7_5,ELA8_2,ELA9_0,ELA10_0,ELA11_0,ELA12_2,ELA13_3,ELA14_5,ELA15_4,ELA16_3,ELA17_3,ELA18_5,ELA19_5,ELA20_7,ELA21_0,ELA22_0,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_3,ELA28_3,ELA29_5,ELA30_7,ELA31_7,ELA32_8,ELA33_1,ELA34_5,ELA35_0,ELA36_8,ELA37_5,ELA38_5,ELA39_4,ELA40_5,ELA41_4,ELA42_4,ELA43_4,ELA44_5,ELA45_3
f19_i2,ELA0_5,ELA1_5,ELA2_4,ELA3_5,ELA4_4,ELA5_4,ELA6_4,ELA7_5,ELA8_2,ELA9_0,ELA10_0,ELA11_0,ELA12_2,ELA13_3,ELA14_5,ELA15_5,ELA16_3,ELA17_3,ELA18_5,ELA19_6,ELA20_7,ELA21_0,ELA22_0,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_3,ELA28_3,ELA29_4,ELA30_8,ELA31_8,ELA32_8,ELA33_1,ELA34_6,ELA35_0,ELA36_8,ELA37_5,ELA38_5,ELA39_4,ELA40_5,ELA41_4,ELA42_4,ELA43_4,ELA44_5,ELA45_3
f19_i3,ELA0_5,ELA1_5,ELA2_4,ELA3_5,ELA4_4,ELA5_4,ELA6_4,ELA7_4,ELA8_2,ELA9_0,ELA10_0,ELA11_0,ELA12_9,ELA13_7,ELA14_2,ELA15_3,ELA16_7,ELA17_3,ELA18_3,ELA19_1,ELA20_7,ELA21_0,ELA22_0,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_2,ELA28_3,ELA29_4,ELA30_7,ELA31_8,ELA32_8,ELA33_1,ELA34_6,ELA35_0,ELA36_8,ELA37_5,ELA38_5,ELA39_4,ELA40_5,ELA41_4,ELA42_4,ELA43_4,ELA44_4,ELA45_3
f19_i4,ELA0_5,ELA1_5,ELA2_5,ELA3_5,ELA4_4,ELA5_4,ELA6_4,ELA7_5,ELA8_2,ELA9_0,ELA10_0,ELA11_0,ELA12_2,ELA13_3,ELA14_5,ELA15_6,ELA16_3,ELA17_3,ELA18_5,ELA19_5,ELA20_6,ELA21_0,ELA22_0,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_4,ELA28_3,ELA29_5,ELA30_7,ELA31_7,ELA32_8,ELA33_1,ELA34_5,ELA35_0,ELA36_9,ELA37_5,ELA38_5,ELA39_5,ELA40_5,ELA41_4,ELA42_4,ELA43_4,ELA44_5,ELA45_2
f19_i5,ELA0_5,ELA1_5,ELA2_4,ELA3_5,ELA4_4,ELA5_4,ELA6_4,ELA7_5,ELA8_2,ELA9_0,ELA10_0,ELA11_0,ELA12_2,ELA13_3,ELA14_6,ELA15_5,ELA16_3,ELA17_3,ELA18_6,ELA19_5,ELA20_6,ELA21_0,ELA22_0,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_2,ELA28_3,ELA29_4,ELA30_7,ELA31_8,ELA32_8,ELA33_1,ELA34_6,ELA35_0,ELA36_8,ELA37_5,ELA38_5,ELA39_4,ELA40_5,ELA41_4,ELA42_4,ELA43_4,ELA44_5,ELA45_3
f1_i1,ELA0_3,ELA1_3,ELA2_3,ELA3_4,ELA4_2,ELA5_3,ELA6_3,ELA7_4,ELA8_0,ELA9_0,ELA10_0,ELA11_0,ELA12_2,ELA13_3,ELA14_9,ELA15_9,ELA16_3,ELA17_3,ELA18_9,ELA19_9,ELA20_7,ELA21_0,ELA22_5,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_6,ELA28_1,ELA29_4,ELA30_9,ELA31_9,ELA32_9,ELA33_0,ELA34_9,ELA35_0,ELA36_9,ELA37_3,ELA38_3,ELA39_3,ELA40_4,ELA41_2,ELA42_3,ELA43_3,ELA44_4,ELA45_2
f1_i2,ELA0_3,ELA1_3,ELA2_3,ELA3_4,ELA4_3,ELA5_4,ELA6_3,ELA7_4,ELA8_1,ELA9_0,ELA10_0,ELA11_0,ELA12_0,ELA13_0,ELA14_1,ELA15_0,ELA16_0,ELA17_0,ELA18_1,ELA19_1,ELA20_7,ELA21_0,ELA22_8,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_8,ELA28_0,ELA29_5,ELA30_9,ELA31_9,ELA32_9,ELA33_0,ELA34_9,ELA35_0,ELA36_9,ELA37_3,ELA38_3,ELA39_3,ELA40_4,ELA41_3,ELA42_4,ELA43_4,ELA44_4,ELA45_2
f1_i3,ELA0_2,ELA1_1,ELA2_0,ELA3_0,ELA4_1,ELA5_1,ELA6_1,ELA7_0,ELA8_0,ELA9_0,ELA10_0,ELA11_0,ELA12_2,ELA13_3,ELA14_2,ELA15_2,ELA16_3,ELA17_3,ELA18_2,ELA19_2,ELA20_7,ELA21_0,ELA22_8,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_9,ELA28_1,ELA29_7,ELA30_9,ELA31_9,ELA32_9,ELA33_1,ELA34_9,ELA35_0,ELA36_9,ELA37_2,ELA38_1,ELA39_0,ELA40_0,ELA41_1,ELA42_1,ELA43_1,ELA44_0,ELA45_1
f1_i4,ELA0_3,ELA1_4,ELA2_3,ELA3_4,ELA4_3,ELA5_4,ELA6_4,ELA7_4,ELA8_1,ELA9_0,ELA10_0,ELA11_0,ELA12_1,ELA13_1,ELA14_2,ELA15_1,ELA16_1,ELA17_1,ELA18_2,ELA19_1,ELA20_7,ELA21_0,ELA22_7,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_8,ELA28_1,ELA29_5,ELA30_9,ELA31_9,ELA32_9,ELA33_0,ELA34_9,ELA35_0,ELA36_9,ELA37_3,ELA38_4,ELA39_3,ELA40_4,ELA41_3,ELA42_4,ELA43_4,ELA44_4,ELA45_2
f1_i5,ELA0_3,ELA1_3,ELA2_3,ELA3_4,ELA4_3,ELA5_3,ELA6_4,ELA7_4,ELA8_0,ELA9_0,ELA10_0,ELA11_0,ELA12_0,ELA13_0,ELA14_1,ELA15_0,ELA16_0,ELA17_0,ELA18_1,ELA19_1,ELA20_8,ELA21_0,ELA22_7,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_8,ELA28_1,ELA29_5,ELA30_9,ELA31_9,ELA32_9,ELA33_0,ELA34_9,ELA35_0,ELA36_9,ELA37_3,ELA38_3,ELA39_3,ELA40_4,ELA41_3,ELA42_3,ELA43_4,ELA44_4,ELA45_2
f20_i1,ELA0_4,ELA1_4,ELA2_4,ELA3_4,ELA4_3,ELA5_4,ELA6_4,ELA7_4,ELA8_0,ELA9_0,ELA10_4,ELA11_4,ELA12_2,ELA13_3,ELA14_2,ELA15_2,ELA16_3,ELA17_3,ELA18_2,ELA19_2,ELA20_5,ELA21_0,ELA22_6,ELA23_0,ELA24_1,ELA25_0,ELA26_0,ELA27_7,ELA28_1,ELA29_6,ELA30_9,ELA31_9,ELA32_8,ELA33_2,ELA34_9,ELA35_0,ELA36_9,ELA37_4,ELA38_4,ELA39_4,ELA40_4,ELA41_3,ELA42_4,ELA43_4,ELA44_4,ELA45_2
f20_i2,ELA0_3,ELA1_3,ELA2_2,ELA3_2,ELA4_3,ELA5_3,ELA6_2,ELA7_2,ELA8_1,ELA9_0,ELA10_4,ELA11_4,ELA12_1,ELA13_1,ELA14_1,ELA15_0,ELA16_1,ELA17_1,ELA18_0,ELA19_0,ELA20_5,ELA21_0,ELA22_7,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_8,ELA28_1,ELA29_7,ELA30_9,ELA31_9,ELA32_9,ELA33_4,ELA34_9,ELA35_0,ELA36_9,ELA37_3,ELA38_3,ELA39_2,ELA40_2,ELA41_3,ELA42_3,ELA43_2,ELA44_2,ELA45_2
f20_i3,ELA0_2,ELA1_2,ELA2_1,ELA3_2,ELA4_2,ELA5_2,ELA6_1,ELA7_1,ELA8_0,ELA9_0,ELA10_4,ELA11_4,ELA12_1,ELA13_2,ELA14_0,ELA15_0,ELA16_2,ELA17_2,ELA18_0,ELA19_0,ELA20_5,ELA21_0,ELA22_7,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_8,ELA28_1,ELA29_7,ELA30_9,ELA31_9,ELA32_9,ELA33_4,ELA34_9,ELA35_0,ELA36_9,ELA37_2,ELA38_2,ELA39_1,ELA40_2,ELA41_2,ELA42_2,ELA43_1,ELA44_1,ELA45_2
f20_i4,ELA0_2,ELA1_2,ELA2_1,ELA3_2,ELA4_2,ELA5_2,ELA6_2,ELA7_1,ELA8_1,ELA9_0,ELA10_4,ELA11_4,ELA12_1,ELA13_2,ELA14_0,ELA15_0,ELA16_2,ELA17_2,ELA18_0,ELA19_0,ELA20_5,ELA21_0,ELA22_7,ELA23_0,ELA24_1,ELA25_0,ELA26_0,ELA27_8,ELA28_2,ELA29_7,ELA30_9,ELA31_9,ELA32_9,ELA33_4,ELA34_9,ELA35_0,ELA36_9,ELA37_2,ELA38_2,ELA39_1,ELA40_2,ELA41_2,ELA42_2,ELA43_2,ELA44_1,ELA45_2
f20_i5,ELA0_4,ELA1_4,ELA2_4,ELA3_4,ELA4_3,ELA5_4,ELA6_4,ELA7_4,ELA8_0,ELA9_0,ELA10_4,ELA11_4,ELA12_2,ELA13_3,ELA14_2,ELA15_2,ELA16_2,ELA17_2,ELA18_2,ELA19_2,ELA20_6,ELA21_0,ELA22_6,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_7,ELA28_1,ELA29_6,ELA30_9,ELA31_9,ELA32_9,ELA33_2,ELA34_9,ELA35_0,ELA36_9,ELA37_4,ELA38_4,ELA39_4,ELA40_4,ELA41_3,ELA42_4,ELA43_4,ELA44_4,ELA45_2
f21_i1,ELA0_9,ELA1_8,ELA2_8,ELA3_8,ELA4_9,ELA5_8,ELA6_8,ELA7_8,ELA8_6,ELA9_0,ELA10_0,ELA11_0,ELA12_0,ELA13_0,ELA14_2,ELA15_2,ELA16_0,ELA17_0,ELA18_2,ELA19_2,ELA20_8,ELA21_0,ELA22_0,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_1,ELA28_5,ELA29_0,ELA30_2,ELA31_3,ELA32_1,ELA33_1,ELA34_1,ELA35_0,ELA36_2,ELA37_9,ELA38_8,ELA39_8,ELA40_8,ELA41_9,ELA42_8,ELA43_8,ELA44_8,ELA45_0
f21_i2,ELA0_8,ELA1_8,ELA2_8,ELA3_8,ELA4_8,ELA5_8,ELA6_8,ELA7_8,ELA8_6,ELA9_0,ELA10_0,ELA11_0,ELA12_0,ELA13_0,ELA14_2,ELA15_2,ELA16_0,ELA17_0,ELA18_2,ELA19_2,ELA20_7,ELA21_0,ELA22_0,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_1,ELA28_5,ELA29_0,ELA30_3,ELA31_3,ELA32_2,ELA33_1,ELA34_1,ELA35_0,ELA36_2,ELA37_8,ELA38_8,ELA39_8,ELA40_8,ELA41_8,ELA42_8,ELA43_8,ELA44_8,ELA45_0
f21_i3,ELA0_7,ELA1_7,ELA2_7,ELA3_8,ELA4_8,ELA5_7,ELA6_8,ELA7_9,ELA8_6,ELA9_0,ELA10_0,ELA11_0,ELA12_2,ELA13_3,ELA14_3,ELA15_3,ELA16_3,ELA17_3,ELA18_3,ELA19_3,ELA20_7,ELA21_0,ELA22_0,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_1,ELA28_5,ELA29_1,ELA30_2,ELA31_3,ELA32_1,ELA33_1,ELA34_1,ELA35_0,ELA36_2,ELA37_7,ELA38_7,ELA39_7,ELA40_8,ELA41_8,ELA42_7,ELA43_8,ELA44_9,ELA45_1
f21_i4,ELA0_9,ELA1_9,ELA2_9,ELA3_8,ELA4_9,ELA5_9,ELA6_9,ELA7_9,ELA8_6,ELA9_0,ELA10_0,ELA11_0,ELA12_1,ELA13_1,ELA14_2,ELA15_2,ELA16_1,ELA17_1,ELA18_2,ELA19_2,ELA20_7,ELA21_0,ELA22_0,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_0,ELA28_5,ELA29_0,ELA30_2,ELA31_3,ELA32_1,ELA33_1,ELA34_0,ELA35_0,ELA36_2,ELA37_9,ELA38_9,ELA39_9,ELA40_8,ELA41_9,ELA42_9,ELA43_9,ELA44_9,ELA45_0
f21_i5,ELA0_8,ELA1_7,ELA2_7,ELA3_7,ELA4_8,ELA5_7,ELA6_7,ELA7_7,ELA8_6,ELA9_0,ELA10_0,ELA11_0,ELA12_0,ELA13_0,ELA14_2,ELA15_0,ELA16_0,ELA17_0,ELA18_2,ELA19_2,ELA20_8,ELA21_0,ELA22_0,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_0,ELA28_5,ELA29_0,ELA30_3,ELA31_3,ELA32_3,ELA33_1,ELA34_2,ELA35_0,ELA36_3,ELA37_8,ELA38_7,ELA39_7,ELA40_7,ELA41_8,ELA42_7,ELA43_7,ELA44_7,ELA45_1
f22_i1,ELA0_8,ELA1_8,ELA2_8,ELA3_7,ELA4_8,ELA5_8,ELA6_8,ELA7_8,ELA8_5,ELA9_0,ELA10_0,ELA11_0,ELA12_2,ELA13_3,ELA14_2,ELA15_2,ELA16_3,ELA17_3,ELA18_2,ELA19_2,ELA20_6,ELA21_0,ELA22_0,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_1,ELA28_3,ELA29_1,ELA30_3,ELA31_4,ELA32_3,ELA33_2,ELA34_1,ELA35_0,ELA36_3,ELA37_8,ELA38_8,ELA39_8,ELA40_7,ELA41_8,ELA42_8,ELA43_8,ELA44_8,ELA45_0
f22_i2,ELA0_8,ELA1_7,ELA2_7,ELA3_8,ELA4_8,ELA5_7,ELA6_7,ELA7_8,ELA8_4,ELA9_0,ELA10_0,ELA11_0,ELA12_7,ELA13_8,ELA14_7,ELA15_7,ELA16_9,ELA17_8,ELA18_7,ELA19_7,ELA20_6,ELA21_0,ELA22_0,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_1,ELA28_4,ELA29_1,ELA30_2,ELA31_4,ELA32_3,ELA33_2,ELA34_0,ELA35_0,ELA36_3,ELA37_8,ELA38_7,ELA39_7,ELA40_8,ELA41_8,ELA42_7,ELA43_7,ELA44_8,ELA45_0
f22_i3,ELA0_7,ELA1_8,ELA2_7,ELA3_7,ELA4_7,ELA5_8,ELA6_7,ELA7_7,ELA8_4,ELA9_0,ELA10_0,ELA11_0,ELA12_2,ELA13_3,ELA14_9,ELA15_9,ELA16_3,ELA17_3,ELA18_9,ELA19_8,ELA20_7,ELA21_0,ELA22_0,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_1,ELA28_4,ELA29_1,ELA30_5,ELA31_4,ELA32_3,ELA33_1,ELA34_1,ELA35_0,ELA36_3,ELA37_7,ELA38_8,ELA39_7,ELA40_7,ELA41_7,ELA42_8,ELA43_7,ELA44_7,ELA45_0
f22_i4,ELA0_7,ELA1_7,ELA2_7,ELA3_7,ELA4_7,ELA5_7,ELA6_7,ELA7_7,ELA8_4,ELA9_0,ELA10_0,ELA11_0,ELA12_1,ELA13_2,ELA14_2,ELA15_2,ELA16_3,ELA17_1,ELA18_2,ELA19_2,ELA20_5,ELA21_0,ELA22_0,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_1,ELA28_3,ELA29_1,ELA30_4,ELA31_4,ELA32_3,ELA33_3,ELA34_1,ELA35_0,ELA36_3,ELA37_7,ELA38_7,ELA39_7,ELA40_7,ELA41_7,ELA42_7,ELA43_7,ELA44_7,ELA45_0
f22_i5,ELA0_4,ELA1_3,ELA2_4,ELA3_5,ELA4_3,ELA5_2,ELA6_3,ELA7_5,ELA8_4,ELA9_0,ELA10_0,ELA11_0,ELA12_0,ELA13_0,ELA14_0,ELA15_0,ELA16_0,ELA17_0,ELA18_0,ELA19_0,ELA20_5,ELA21_0,ELA22_2,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_3,ELA28_3,ELA29_3,ELA30_4,ELA31_5,ELA32_3,ELA33_4,ELA34_3,ELA35_0,ELA36_5,ELA37_4,ELA38_3,ELA39_4,ELA40_5,ELA41_3,ELA42_2,ELA43_3,ELA44_5,ELA45_0
f23_i1,ELA0_9,ELA1_9,ELA2_9,ELA3_9,ELA4_9,ELA5_9,ELA6_9,ELA7_9,ELA8_9,ELA9_0,ELA10_0,ELA11_0,ELA12_1,ELA13_1,ELA14_9,ELA15_9,ELA16_1,ELA17_1,ELA18_9,ELA19_9,ELA20_9,ELA21_0,ELA22_0,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_0,ELA28_9,ELA29_0,ELA30_0,ELA31_0,ELA32_0,ELA33_0,ELA34_0,ELA35_0,ELA36_0,ELA37_9,ELA38_9,ELA39_9,ELA40_9,ELA41_9,ELA42_9,ELA43_9,ELA44_9,ELA45_2
f23_i2,ELA0_9,ELA1_9,ELA2_9,ELA3_9,ELA4_9,ELA5_9,ELA6_9,ELA7_9,ELA8_9,ELA9_0,ELA10_0,ELA11_0,ELA12_0,ELA13_0,ELA14_9,ELA15_9,ELA16_1,ELA17_1,ELA18_9,ELA19_9,ELA20_9,ELA21_0,ELA22_0,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_0,ELA28_9,ELA29_0,ELA30_0,ELA31_0,ELA32_0,ELA33_0,ELA34_0,ELA35_0,ELA36_0,ELA37_9,ELA38_9,ELA39_9,ELA40_9,ELA41_9,ELA42_9,ELA43_9,ELA44_9,ELA45_2
f23_i3,ELA0_9,ELA1_9,ELA2_9,ELA3_9,ELA4_9,ELA5_9,ELA6_9,ELA7_9,ELA8_9,ELA9_0,ELA10_0,ELA11_0,ELA12_0,ELA13_1,ELA14_9,ELA15_9,ELA16_1,ELA17_1,ELA18_9,ELA19_9,ELA20_9,ELA21_0,ELA22_0,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_0,ELA28_9,ELA29_0,ELA30_0,ELA31_0,ELA32_0,ELA33_0,ELA34_0,ELA35_0,ELA36_0,ELA37_9,ELA38_9,ELA39_9,ELA40_9,ELA41_9,ELA42_9,ELA43_9,ELA44_9,ELA45_1
f23_i4,ELA0_9,ELA1_9,ELA2_9,ELA3_9,ELA4_9,ELA5_9,ELA6_9,ELA7_9,ELA8_9,ELA9_0,ELA10_0,ELA11_0,ELA12_1,ELA13_1,ELA14_9,ELA15_9,ELA16_1,ELA17_1,ELA18_9,ELA19_9,ELA20_9,ELA21_0,ELA22_0,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_0,ELA28_9,ELA29_0,ELA30_1,ELA31_0,ELA32_0,ELA33_0,ELA34_0,ELA35_0,ELA36_0,ELA37_9,ELA38_9,ELA39_9,ELA40_9,ELA41_9,ELA42_9,ELA43_9,ELA44_9,ELA45_2
f23_i5,ELA0_9,ELA1_9,ELA2_9,ELA3_9,ELA4_9,ELA5_9,ELA6_9,ELA7_9,ELA8_9,ELA9_0,ELA10_0,ELA11_0,ELA12_0,ELA13_1,ELA14_9,ELA15_9,ELA16_1,ELA17_1,ELA18_9,ELA19_9,ELA20_9,ELA21_0,ELA22_0,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_0,ELA28_9,ELA29_0,ELA30_0,ELA31_0,ELA32_0,ELA33_0,ELA34_0,ELA35_0,ELA36_0,ELA37_9,ELA38_9,ELA39_9,ELA40_9,ELA41_9,ELA42_9,ELA43_9,ELA44_9,ELA45_2
f24_i1,ELA0_5,ELA1_5,ELA2_4,ELA3_5,ELA4_4,ELA5_4,ELA6_4,ELA7_5,ELA8_4,ELA9_0,ELA10_1,ELA11_1,ELA12_0,ELA13_0,ELA14_0,ELA15_0,ELA16_0,ELA17_0,ELA18_0,ELA19_0,ELA20_9,ELA21_0,ELA22_2,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_4,ELA28_5,ELA29_2,ELA30_6,ELA31_6,ELA32_7,ELA33_0,ELA34_7,ELA35_0,ELA36_8,ELA37_5,ELA38_5,ELA39_4,ELA40_5,ELA41_4,ELA42_4,ELA43_4,ELA44_5,ELA45_2
f24_i2,ELA0_5,ELA1_5,ELA2_4,ELA3_5,ELA4_4,ELA5_5,ELA6_4,ELA7_5,ELA8_4,ELA9_0,ELA10_1,ELA11_1,ELA12_0,ELA13_0,ELA14_0,ELA15_0,ELA16_0,ELA17_0,ELA18_0,ELA19_0,ELA20_9,ELA21_0,ELA22_2,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_4,ELA28_5,ELA29_2,ELA30_6,ELA31_6,ELA32_7,ELA33_0,ELA34_7,ELA35_0,ELA36_8,ELA37_5,ELA38_5,ELA39_4,ELA40_5,ELA41_4,ELA42_5,ELA43_4,ELA44_5,ELA45_1
f24_i3,ELA0_5,ELA1_4,ELA2_4,ELA3_4,ELA4_4,ELA5_4,ELA6_3,ELA7_4,ELA8_4,ELA9_0,ELA10_1,ELA11_1,ELA12_1,ELA13_1,ELA14_1,ELA15_1,ELA16_1,ELA17_1,ELA18_1,ELA19_1,ELA20_9,ELA21_0,ELA22_3,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_4,ELA28_6,ELA29_3,ELA30_6,ELA31_7,ELA32_7,ELA33_0,ELA34_6,ELA35_0,ELA36_8,ELA37_5,ELA38_4,ELA39_4,ELA40_4,ELA41_4,ELA42_4,ELA43_3,ELA44_4,ELA45_2
f24_i4,ELA0_5,ELA1_5,ELA2_4,ELA3_5,ELA4_4,ELA5_4,ELA6_4,ELA7_5,ELA8_4,ELA9_0,ELA10_1,ELA11_1,ELA12_0,ELA13_0,ELA14_0,ELA15_0,ELA16_0,ELA17_0,ELA18_0,ELA19_0,ELA20_9,ELA21_0,ELA22_2,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_4,ELA28_5,ELA29_2,ELA30_6,ELA31_7,ELA32_7,ELA33_0,ELA34_7,ELA35_0,ELA36_8,ELA37_5,ELA38_5,ELA39_4,ELA40_5,ELA41_4,ELA42_4,ELA43_4,ELA44_5,ELA45_2
f24_i5,ELA0_5,ELA1_4,ELA2_4,ELA3_4,ELA4_4,ELA5_4,ELA6_4,ELA7_4,ELA8_4,ELA9_0,ELA10_1,ELA11_1,ELA12_1,ELA13_1,ELA14_1,ELA15_1,ELA16_1,ELA17_1,ELA18_1,ELA19_1,ELA20_9,ELA21_0,ELA22_2,ELA23_0,ELA24_0,ELA25_0,ELA26_0,ELA27_4,ELA28_5,ELA29_3,ELA30_6,ELA31_6,ELA32_7,ELA33_0,ELA34_6,ELA35_0,ELA36_8,ELA37_5,ELA38_4,ELA39_4,ELA40_4,ELA41_4,ELA42_4,ELA43_4,ELA44_4,ELA45_2
f2_i1,ELA0_5,ELA1_4,ELA2_4,ELA3_5,ELA4_4,ELA5_3,ELA6_4,ELA7_5,ELA8_2,ELA9_0,ELA10_7,ELA11_6,ELA12_0,ELA13_0,ELA14_0,ELA15_0,ELA16_0,ELA17_0,ELA18_0,ELA19_0,ELA20_5,ELA21_0,ELA22_6,ELA23_0,ELA24_4,ELA25_0,ELA26_0,ELA27_7,ELA28_1,ELA29_6,ELA30_7,ELA31_7,ELA32_6,ELA33_5,ELA34_9,ELA35_5,ELA36_9,ELA37_5,ELA38_4,ELA39_4,ELA40_5,ELA41_4,ELA42_3,ELA43_4,ELA44_5,ELA45_2
